性别,出生日期,学历,入职日期,服务违章,安全违章,事故
1,46,3,18,0,0,0
1,48,0,15,0,0,0
1,40,1,14,0,0,0
1,53,2,16,0,0,0
1,50,0,26,1,1,0
1,42,0,16,0,0,0
1,51,2,14,0,0,1
1,42,0,16,0,0,0
1,46,1,21,0,1,1
1,53,0,19,0,0,1
1,45,2,20,0,0,0
1,45,0,18,0,1,0
1,52,2,16,0,0,1
1,51,1,11,0,1,0
1,48,0,20,0,0,1
1,53,0,19,0,0,0
0,40,0,16,0,0,0
1,42,5,14,0,0,0
1,38,0,14,0,0,0
1,56,2,15,0,0,0
1,45,0,18,0,0,0
1,47,0,19,0,0,0
1,46,0,15,1,0,1
1,42,1,14,0,0,0
1,51,6,18,0,0,0
1,58,0,18,1,1,0
1,45,6,23,0,1,0
1,52,2,21,0,0,0
1,48,0,20,0,0,1
1,54,0,16,0,0,0
1,48,2,19,1,0,0
1,53,2,18,0,0,0
1,47,5,14,0,0,0
1,46,0,22,0,0,1
1,49,0,28,0,0,0
1,44,0,16,1,1,0
1,48,2,18,0,1,0
1,43,0,16,1,1,1
1,53,0,16,0,0,0
1,41,0,5,1,0,0
1,51,5,20,0,0,0
0,47,0,16,0,0,0
1,47,0,13,0,0,0
1,48,5,21,0,0,0
0,48,2,16,0,0,0
1,48,8,12,1,1,0
0,44,0,23,0,0,0
1,55,2,15,1,0,0
1,55,2,20,0,0,0
0,42,3,19,0,0,0
0,37,0,13,0,0,0
1,48,0,15,0,1,0
1,48,1,8,0,0,0
1,40,0,17,0,0,0
1,52,2,17,0,0,0
1,41,0,19,0,0,0
1,51,2,18,0,0,1
1,41,2,11,0,1,1
1,37,0,13,1,0,1
1,39,0,14,0,0,0
1,50,0,18,0,1,0
1,48,2,18,0,0,0
1,51,0,16,0,0,0
0,48,0,17,0,0,1
0,37,0,13,0,0,0
1,42,0,13,0,0,1
1,51,2,14,0,0,1
1,52,2,16,0,0,1
1,41,5,16,0,0,0
1,52,0,20,0,0,0
1,50,2,20,0,0,0
1,50,1,8,0,0,0
1,51,0,20,0,0,0
1,53,0,20,0,0,1
1,53,0,14,0,1,1
0,44,3,18,0,0,0
1,47,0,19,0,0,0
1,49,2,14,0,1,1
1,51,2,14,0,0,1
1,51,0,13,0,0,0
1,52,0,17,0,1,1
1,50,2,15,0,1,0
1,44,0,18,0,0,0
1,51,0,19,0,1,1
1,44,0,26,0,0,0
1,44,0,21,1,0,0
1,41,3,18,1,0,0
1,56,0,35,1,0,0
1,48,0,31,0,0,0
1,45,0,19,0,0,0
1,52,0,16,0,0,0
1,42,0,21,1,1,0
1,43,0,16,0,0,0
1,51,0,15,0,1,0
1,55,0,36,0,0,0
1,46,0,19,1,0,0
1,49,0,20,0,0,0
1,54,0,16,0,0,0
1,41,1,23,1,0,0
1,40,1,20,0,0,0
1,42,0,1,0,1,1
1,48,2,16,0,0,0
